Product,Name,Rating,CommentHead,Comment
iphone12,Flipkart Customer,5,Terrific,"Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product"
iphone12,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
iphone12,Vishal Gandhi,5,Terrific purchase,Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…
iphone12,Athul Shabu,5,Must buy!,"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone."
iphone12,Flipkart Customer,5,Awesome,"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!"
iphone12,Ishu Kumar,5,Mind-blowing purchase,"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌.."
iphone12,Vijaya Kurkute,5,Highly recommended,"Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing"
iphone12,Suddha Ram boro,5,Awesome,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
iphone12,Ayaz Ahmad,5,Brilliant,"Almost 1month of purshase and i am loving it . Great for photography and videography and trust me the stability of video is awesome . High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding . worth buying . also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 ."
iphone12,Indradav Sharma ,5,Must buy!,"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great"
iphone12,No Name,No Rating,No Comment Heading,"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great"
